line_index,from_bus,to_bus,I_nominal_pu,Imax_pu,I2max_pu2,current_margin
0,1,2,0.46128196323850384,0.5535383558862046,0.3064047114372025,1.2
1,2,3,0.41033481768343205,0.49240178122011846,0.24245951414874542,1.2
2,3,4,0.29520580256797047,0.35424696308156456,0.12549091085251135,1.2
3,4,5,0.28042888090969964,0.3365146570916396,0.11324211443750377,1.2
4,5,6,0.2735896411338547,0.3283075693606256,0.10778586009948199,1.2
5,6,7,0.1280296168619296,0.1536355402343155,0.023603879223089975,1.2
6,7,8,0.10440183409094377,0.1252822009091325,0.01569562986463624,1.2
7,8,9,0.08065496656612883,0.0967859598793546,0.009367522029768037,1.2
8,9,10,0.07393740376547704,0.08872488451857245,0.007872105132834017,1.2
9,10,11,0.06718617801563549,0.08062341361876259,0.0065001348235420725,1.2
10,11,12,0.06141675524609499,0.07370010629531398,0.00543170566794058,1.2
11,12,13,0.05395353876202795,0.06474424651443354,0.00419181745672174,1.2
12,13,14,0.04645220005294721,0.05574264006353665,0.003107241921253001,1.2
13,14,15,0.031114170597744496,0.03733700471729339,0.001394051921259189,1.2
14,15,16,0.024586144507822573,0.029503373409387086,0.000870449042533729,1.2
15,16,17,0.017688538490263698,0.021226246188316436,0.00045055352724701804,1.2
16,17,18,0.010786288534181366,0.012943546241017638,0.00016753538929336183,1.2
17,2,19,0.03966093382683334,0.04759312059220001,0.002265105127703692,1.2
18,19,20,0.029777531079301093,0.03573303729516131,0.0012768499543373889,1.2
19,20,21,0.019858509966305556,0.023830211959566666,0.0005678790020378742,1.2
20,21,22,0.009932445519668376,0.011918934623602051,0.00014206100256169976,1.2
21,3,23,0.10630995467146956,0.12757194560576346,0.01627460130563987,1.2
22,23,24,0.09581473727763087,0.11497768473315705,0.013219867986597255,1.2
23,24,25,0.047989394988120264,0.057587273985744314,0.003316294125109184,1.2
24,6,26,0.14330033520499807,0.17196040224599768,0.029570379940605324,1.2
25,26,27,0.13701816584797152,0.16442179901756582,0.02703452799217281,1.2
26,27,28,0.13078001705490924,0.15693602046589109,0.024628914519670586,1.2
27,28,29,0.12494688192781639,0.14993625831337967,0.022480881557016514,1.2
28,29,30,0.11091918486948221,0.13310302184337866,0.017716414423838936,1.2
29,30,31,0.05119881404725269,0.061438576856703224,0.003774698726177029,1.2
30,31,32,0.0331735226717179,0.03980822720606148,0.0015846949532894135,1.2
31,32,33,0.007867316424459874,0.00944077970935185,8.912832152050959e-05,1.2
