true_case,reference_p_pu,reference_q_pu,reference_p_mw,reference_q_mvar,reference_power_pu_squared,reference_apparent_power_pu,reference_apparent_power_mva
0,0.37823822645717087,0.2441158717662546,3.7823822645717087,2.441158717662546,0.20265671480166453,0.45017409388109453,4.501740938810945
1,0.3834683063033424,0.22609093966906357,3.834683063033424,2.2609093966906357,0.19816505493959416,0.4451573372860366,4.451573372860366
2,0.3909023316829803,0.23745044651148817,3.9090233168298028,2.3745044651148817,0.20918734746369583,0.45737003341243926,4.573700334124393
3,0.3874044117099231,0.2424946093302367,3.8740441170992312,2.424946093302367,0.20888581376653576,0.4570402758691358,4.570402758691358
4,0.3950010663786827,0.2468680777637502,3.950010663786827,2.468680777637502,0.2169696902590655,0.465800053949187,4.65800053949187
5,0.37851312188541897,0.23743625328719986,3.7851312188541897,2.3743625328719986,0.19964815781450937,0.4468200508196889,4.4682005081968885
6,0.4054068940167781,0.2313711119427495,4.054068940167781,2.313711119427495,0.2178873411579555,0.466784041241724,4.66784041241724
7,0.39843495325851563,0.2582182764776775,3.9843495325851563,2.5821827647767748,0.22542709028521785,0.4747916282804677,4.7479162828046775
8,0.40963782475338917,0.23147690946630917,4.096378247533892,2.3147690946630917,0.22138470708476227,0.470515363282393,4.70515363282393
9,0.37849395153048704,0.22984111155903975,3.7849395153048704,2.2984111155903975,0.19608460790785764,0.4428144170054286,4.428144170054286
10,0.3917063451687568,0.23737713253544257,3.917063451687568,2.3737713253544257,0.2097817638962143,0.458019392489242,4.58019392489242
11,0.3931149973322192,0.23879533617524373,3.931149973322192,2.3879533617524373,0.21156261370655838,0.4599593609293743,4.599593609293743
12,0.399590008308337,0.23283601454876646,3.99590008308337,2.3283601454876646,0.2138847844108102,0.46247679337541925,4.6247679337541925
13,0.37229618315220137,0.25133853980774745,3.7229618315220137,2.5133853980774745,0.2017755095823881,0.44919428934748057,4.491942893474806
14,0.40124634357317746,0.24396365414618515,4.0124634357317746,2.4396365414618515,0.2205168927752038,0.46959226226078704,4.6959226226078705
15,0.3944425937810081,0.2534456187685521,3.944425937810081,2.534456187685521,0.2198196414616636,0.46884927371348634,4.6884927371348635
16,0.40249850424066835,0.23819172092797203,4.0249850424066835,2.3819172092797203,0.21874034183460422,0.46769684821966057,4.676968482196606
17,0.40944330641480065,0.23738537860056397,4.0944330641480065,2.3738537860056397,0.22399563914121745,0.47328177562760376,4.732817756276038
18,0.3852210771673583,0.25490608966065054,3.852210771673583,2.5490608966065054,0.21337239284006343,0.46192249657281625,4.619224965728162
19,0.38230321607019846,0.2418536650130676,3.8230321607019846,2.418536650130676,0.20464894429786998,0.4523814146247279,4.523814146247279
20,0.4029777687217404,0.2600534982998539,4.029777687217404,2.600534982998539,0.23001890406194464,0.4796028607733117,4.796028607733117
21,0.38646078680594087,0.2551239906289027,3.8646078680594087,2.5512399062890267,0.2144401903330833,0.46307687302766837,4.630768730276683
22,0.3979814072365855,0.23448001780458583,3.979814072365855,2.3448001780458583,0.2133700792556518,0.46191999226668223,4.619199922666822
23,0.3831713143617037,0.23365134871143312,3.831713143617037,2.336513487114331,0.20141320890434727,0.4487908297908362,4.487908297908362
24,0.38849606548026827,0.242344707366982,3.8849606548026827,2.42344707366982,0.20966015008243705,0.4578866126918727,4.578866126918727
25,0.4073584750143482,0.24561219508322552,4.073584750143482,2.456121950832255,0.22626627753961576,0.4756745500230339,4.7567455002303385
26,0.38454442885480944,0.24358471916937674,3.8454442885480944,2.4358471916937674,0.20720793317609573,0.4552009810798915,4.552009810798915
27,0.3874257784501651,0.2533563048798868,3.8742577845016513,2.533563048798868,0.2142881510301066,0.46291268186355256,4.629126818635526
28,0.39674672833385216,0.2390778034321528,3.9674672833385216,2.390778034321528,0.21456616253755859,0.4632128695724662,4.632128695724662
29,0.4002416849819781,0.23840007536618657,4.002416849819781,2.3840007536618657,0.21702800233181643,0.46586264320271104,4.65862643202711
30,0.37335279891979667,0.24062164048599755,3.7335279891979667,2.4062164048599755,0.19729108633141876,0.4441746124345906,4.441746124345906
31,0.3947225288926006,0.23684728918121323,3.947225288926006,2.3684728918121323,0.21190251320785916,0.4603287012644977,4.603287012644977
32,0.39534789963414596,0.23675154396111964,3.9534789963414596,2.3675154396111964,0.21235125531310473,0.46081585835678956,4.608158583567896
33,0.3975646418547001,0.2512397921717735,3.975646418547001,2.512397921717735,0.2211790776235719,0.47029679737754104,4.702967973775411
34,0.39833702220315104,0.2258982131890832,3.9833702220315104,2.258982131890832,0.20970238597969412,0.45793273084558406,4.579327308455841
35,0.3795719806577722,0.2463853243125982,3.795719806577722,2.463853243125982,0.20478061653708837,0.45252692354940427,4.525269235494043
36,0.3931617935646443,0.24659973635255028,3.931617935646443,2.465997363525503,0.2153876258881153,0.4640987242905493,4.640987242905493
37,0.38723519665677486,0.24484509701385093,3.8723519665677486,2.4484509701385093,0.20990021906153317,0.45814868663080677,4.581486866308068
38,0.4015895330104797,0.23623661105889937,4.015895330104797,2.3623661105889937,0.21708188942816886,0.46592047543348947,4.659204754334895
39,0.3873015025858706,0.26197621963271445,3.873015025858706,2.6197621963271445,0.21863399355832136,0.4675831407977851,4.675831407977851
40,0.39613705948460165,0.23226495221436494,3.9613705948460165,2.3226495221436494,0.21087157792424804,0.4592075542978883,4.592075542978883
41,0.3960113629631792,0.24015972969601762,3.960113629631792,2.401597296960176,0.21450169536361907,0.46314327735984584,4.631432773598458
42,0.40009458386560937,0.2380189172403817,4.000945838656094,2.380189172403817,0.21672868100287881,0.4655412774425903,4.655412774425903
43,0.39145331474674094,0.2315607817919414,3.9145331474674094,2.315607817919414,0.20685609329030613,0.45481435035661105,4.54814350356611
44,0.40034922475138046,0.2542580933911296,4.003492247513805,2.542580933911296,0.22492667981392372,0.47426435646580456,4.742643564658046
45,0.3925891933782282,0.25085412817300323,3.9258919337822817,2.5085412817300323,0.21705406837880536,0.4658906184704789,4.658906184704789
46,0.38662130122699523,0.23309495203936592,3.8662130122699523,2.330949520393659,0.2038092872286893,0.4514524196730917,4.514524196730917
47,0.3986774047489803,0.2381338962571391,3.986774047489803,2.381338962571391,0.21565142560398814,0.46438284378730893,4.643828437873089
48,0.3987987092657477,0.23992257618743906,3.9879870926574768,2.3992257618743906,0.21660325307644385,0.465406546018042,4.65406546018042
49,0.3750196056842583,0.24547544453417913,3.750196056842583,2.4547544453417913,0.20089789851682943,0.448216352353224,4.48216352353224
